x,y,z,latitude,longitude,speed,sound,light,time,timestamp
0.1316811 ,0.93134445 ,9.682152,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271523
0.2801216 ,1.043872 ,8.916007,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271530
0.4333505 ,1.1611878 ,8.288726,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271533
0.641646 ,1.30484 ,7.536947,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271538
0.90021986 ,1.4101849 ,7.0126166,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271545
1.0821792 ,1.4939818 ,6.543353,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271548
1.3790601 ,1.5227122 ,6.133945,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271553
1.5921441 ,1.5298948 ,5.961562,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271558
1.7788919 ,1.4891934 ,6.069301,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271564
1.8531121 ,1.4077905 ,6.4260373,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271568
1.7525556 ,1.2785037 ,6.921637,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271573
1.5131354 ,1.0845734 ,7.630321,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271579
1.2808979 ,0.91219085 ,8.1402855,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271583
0.94810385 ,0.6799533 ,8.734048,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271588
0.6991069 ,0.5410896 ,9.205706,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271595
0.50517654 ,0.40701428 ,9.607931,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271598
0.33279404 ,0.24420857 ,10.101137,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271603
0.22266077 ,0.10055647 ,10.436325,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271612
0.16519992 ,-0.045489833 ,10.807426,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271614
0.093373865 ,-0.12449849 ,11.034876,23.51787782739848,87.34576106071472 ,9.46799955368042,63.510030251421476 ,0.0,18:44:31 pm,1663161271619
