x=0.09816227 , y=2.4612393 , z=9.076419
x=0.06943185 , y=2.4013844 , z=9.165004
x=0.06464344 , y=2.3511062 , z=9.169792
x=0.079008654 , y=2.3319526 , z=9.193734
x=0.08619126 , y=2.3391352 , z=9.188946
x=0.11492168 , y=2.3463178 , z=9.097966
x=0.15322891 , y=2.3798366 , z=8.978256
x=0.21308395 , y=2.3822308 , z=8.793902
x=0.29927522 , y=2.4037786 , z=8.65025
x=0.39983168 , y=2.4133554 , z=8.602366
x=0.51475334 , y=2.396596 , z=8.652645
x=0.60812724 , y=2.3942018 , z=8.75799
x=0.6895301 , y=2.3511062 , z=8.90643
x=0.7565677 , y=2.2625206 , z=9.172187
x=0.78290397 , y=2.2098482 , z=9.485827
x=0.7469909 , y=2.1404164 , z=9.880871
x=0.6464345 , y=2.1428106 , z=10.168175
x=0.5315128 , y=2.1428106 , z=10.419566
x=0.32321724 , y=2.1739352 , z=10.563218
x=0.17477672 , y=2.2098482 , z=10.577583
x=0.09816227 , y=2.2361844 , z=10.5680065
x=0.088585466 , y=2.2697031 , z=10.536881
x=0.10055647 , y=2.2888567 , z=10.465055
x=0.10055647 , y=2.3391352 , z=10.28549
x=0.050278235 , y=2.3942018 , z=10.079589
x=-0.06464344 , y=2.5139117 , z=9.873688
x=-0.12449849 , y=2.5785553 , z=9.662998
x=-0.16280572 , y=2.621651 , z=9.481039
x=-0.09816227 , y=2.6982653 , z=9.25359
x=0.0047884034 , y=2.755726 , z=9.090784
x=0.1412579 , y=2.8299465 , z=8.918402
x=0.24420857 , y=2.89459 , z=8.870518
x=0.30885202 , y=2.9520507 , z=8.820239
x=0.30166942 , y=3.0262709 , z=8.820239
x=0.29927522 , y=3.0669725 , z=8.836999
x=0.2896984 , y=3.1004913 , z=8.865729
x=0.2633622 , y=3.110068 , z=8.959103
x=0.22984336 , y=3.107674 , z=9.107543
x=0.17717093 , y=3.095703 , z=9.3733
x=0.16519992 , y=3.0789435 , z=9.665392
x=0.11971009 , y=3.083732 , z=10.007763
x=0.076614454 , y=3.071761 , z=10.223241
x=0.009576807 , y=3.0550013 , z=10.443508
x=-0.05746084 , y=3.1028855 , z=10.577583
x=-0.093373865 , y=3.1603463 , z=10.651803
x=-0.107739076 , y=3.2106245 , z=10.66138
x=-0.090979666 , y=3.2752678 , z=10.5919485
x=-0.007182605 , y=3.323152 , z=10.510546
x=0.10534488 , y=3.394978 , z=10.4171715
x=0.20350714 , y=3.4404678 , z=10.359711
x=0.2825158 , y=3.5075054 , z=10.275913
x=0.29927522 , y=3.526659 , z=10.201694
x=0.30645782 , y=3.5889084 , z=10.129868
x=0.29688102 , y=3.6535518 , z=10.038888
x=0.31364042 , y=3.727772 , z=9.981427
x=0.31124622 , y=3.7828386 , z=9.933543
x=0.33518824 , y=3.8043866 , z=9.921572
x=0.36152446 , y=3.821146 , z=9.962274
x=0.272939 , y=3.7612908 , z=10.043676
x=0.19153613 , y=3.7086184 , z=10.149021
x=0.023942016 , y=3.6128504 , z=10.247183
x=-0.12928689 , y=3.5649664 , z=10.323798
x=-0.31364042 , y=3.5194764 , z=10.354922
x=-0.48841715 , y=3.5003228 , z=10.2974615
x=-0.62488663 , y=3.5122938 , z=10.206482
x=-0.7613561 , y=3.5194764 , z=9.9550905
x=-0.8403648 , y=3.560178 , z=9.65821
x=-0.90261406 , y=3.5913026 , z=9.260772
x=-0.9624691 , y=3.643975 , z=8.767567
x=-1.0127473 , y=3.6774938 , z=8.379706
x=-1.0869676 , y=3.7421372 , z=7.905654
x=-1.1611878 , y=3.7708676 , z=7.548918
x=-1.2306197 , y=3.8235402 , z=7.2424603
x=-1.30484 , y=3.8235402 , z=6.9168487
x=-1.283292 , y=3.8163576 , z=6.787562
x=-1.3311762 , y=3.7684734 , z=6.8091097
x=-1.3742718 , y=3.6966474 , z=7.019799
x=-1.4293385 , y=3.6104562 , z=7.3885064
x=-1.520318 , y=3.4452562 , z=8.013393
x=-1.6160861 , y=3.2704794 , z=8.542512
x=-1.7190368 , y=3.0358477 , z=9.346964
x=-1.8195933 , y=2.873042 , z=9.974244
x=-1.8866309 , y=2.731784 , z=10.551247
x=-1.982399 , y=2.6360161 , z=11.291056
x=-2.0518308 , y=2.5809495 , z=11.765107
x=-2.1308396 , y=2.5474305 , z=12.2224
x=-2.0709844 , y=2.542642 , z=12.423512
x=-1.982399 , y=2.5450363 , z=12.552799
x=-1.8387469 , y=2.6168625 , z=12.569559
x=-1.6879122 , y=2.72939 , z=12.509704
x=-1.4149733 , y=2.9137435 , z=12.258312
x=-1.1611878 , y=3.086126 , z=11.999739
x=-0.90979666 , y=3.25372 , z=11.695675
x=-0.5674258 , y=3.4763808 , z=11.283873
x=-0.31124622 , y=3.6415808 , z=10.955867
x=-0.02873042 , y=3.8235402 , z=10.512939
x=0.18435353 , y=3.9456444 , z=10.240001
x=0.34237084 , y=4.048595 , z=9.947908
x=0.50038815 , y=4.1299977 , z=9.689334
x=0.5602432 , y=4.1515455 , z=9.545682
x=0.5315128 , y=4.1635165 , z=9.457097
x=0.48123455 , y=4.158728 , z=9.394848
x=0.40222588 , y=4.134786 , z=9.370906
x=0.24660277 , y=4.060566 , z=9.423578
x=0.088585466 , y=3.9983168 , z=9.512163
x=-0.06703765 , y=3.8881836 , z=9.636662
x=-0.16280572 , y=3.8043866 , z=9.617508
x=-0.23942018 , y=3.7134068 , z=9.591172
x=-0.33279404 , y=3.6367924 , z=9.560047
x=-0.36152446 , y=3.5625722 , z=9.622296
x=-0.34476504 , y=3.5290532 , z=9.679757
x=-0.32561144 , y=3.4931402 , z=9.715671
x=-0.25617957 , y=3.490746 , z=9.713276
x=-0.19871874 , y=3.4237084 , z=9.64145
x=-0.17717093 , y=3.3806129 , z=9.519346
x=-0.15801731 , y=3.3375173 , z=9.303867
x=-0.12449849 , y=3.3327289 , z=9.112331
x=-0.107739076 , y=3.3566709 , z=8.911219
x=-0.074220255 , y=3.3877954 , z=8.707711
x=-0.05746084 , y=3.3925838 , z=8.578424
x=-0.08619126 , y=3.406949 , z=8.456321
x=-0.11731588 , y=3.3973722 , z=8.396465
x=-0.16998832 , y=3.3854012 , z=8.324639
x=-0.25617957 , y=3.3399115 , z=8.279149
x=-0.36152446 , y=3.323152 , z=8.248025
x=-0.47644615 , y=3.2704794 , z=8.195353
x=-0.59855044 , y=3.2680852 , z=8.087613
x=-0.7158663 , y=3.2561142 , z=7.9463553
x=-0.8331822 , y=3.2202013 , z=7.7332716
x=-0.91697925 , y=3.1794999 , z=7.5561004
x=-0.9935937 , y=3.1172507 , z=7.3430166
x=-1.0486604 , y=3.052607 , z=7.21373
x=-1.1300632 , y=3.0142999 , z=7.156269
x=-1.2186487 , y=2.9640217 , z=7.2352777
x=-1.271321 , y=2.966416 , z=7.410054
x=-1.2593501 , y=2.956839 , z=7.6829934
x=-1.1947067 , y=2.9520507 , z=7.8745294
x=-1.1180922 , y=2.9592333 , z=8.054094
x=-1.0319009 , y=2.980781 , z=8.219295
x=-0.9600749 , y=3.0214825 , z=8.310274
x=-0.90740246 , y=3.0550013 , z=8.453926
x=-0.8619126 , y=3.0430303 , z=8.50181
x=-0.8331822 , y=3.0454245 , z=8.602366
x=-0.80924016 , y=3.0358477 , z=8.736442
x=-0.830788 , y=3.0238767 , z=8.810662
x=-0.89303726 , y=3.040636 , z=8.851364
x=-0.9864111 , y=3.0693667 , z=8.760384
x=-1.0103531 , y=3.0909145 , z=8.611943
x=-1.067814 , y=3.1244333 , z=8.298303
x=-1.1300632 , y=3.1316159 , z=7.9726915
x=-1.1827357 , y=3.157952 , z=7.6015906
