x=0.088585466 , y=4.074931 , z=11.204864
x=0.10295067 , y=4.1635165 , z=12.593501
x=0.39025488 , y=4.405331 , z=13.524845
x=0.6512229 , y=4.5633483 , z=13.148955
x=0.61530983 , y=4.5178585 , z=11.429919
x=0.770933 , y=4.146757 , z=10.469844
x=1.0630256 , y=3.8115692 , z=10.730812
x=1.4269443 , y=3.550601 , z=11.918336
x=1.3239936 , y=3.6463692 , z=12.509704
x=0.62249243 , y=3.928885 , z=11.034876
x=-0.49081135 , y=4.256891 , z=9.174581
x=-0.7422025 , y=4.4915223 , z=8.990228
x=-0.4429273 , y=4.8745947 , z=9.672575
x=-0.14844051 , y=5.0134583 , z=9.16261
x=0.05267244 , y=5.080496 , z=7.860164
x=0.4429273 , y=5.092467 , z=7.091625
x=0.61530983 , y=4.999093 , z=6.38773
x=0.51954174 , y=5.1523223 , z=6.3206925
x=0.46926352 , y=5.2265425 , z=6.5505357
x=0.11492168 , y=5.3941364 , z=6.143522
x=-0.1436521 , y=5.4779334 , z=6.4667387
x=-0.17717093 , y=5.3701944 , z=6.0597243
x=0.11492168 , y=5.291186 , z=5.60722
x=-0.110133275 , y=5.3318872 , z=5.2887917
x=-0.23463176 , y=5.4444146 , z=6.457162
x=-0.1364695 , y=5.4659624 , z=7.9008656
x=0.20590134 , y=5.3965306 , z=8.121132
x=0.5267244 , y=5.032612 , z=7.1251445
x=0.47884035 , y=4.5657425 , z=7.735666
x=0.6823475 , y=3.9145198 , z=8.834604
x=0.6679823 , y=3.5745432 , z=9.339781
x=0.32800564 , y=3.2632968 , z=11.168951
x=-0.19393034 , y=2.9400797 , z=11.683704
x=-1.2042835 , y=2.791639 , z=11.523293
x=-1.8124107 , y=2.767697 , z=12.715605
x=-1.8459295 , y=2.9951463 , z=13.618219
x=-2.0159178 , y=3.1962593 , z=14.628572
x=-1.8052281 , y=3.1483753 , z=13.397953
x=-1.3910311 , y=3.074155 , z=11.434708
x=-0.61530983 , y=3.1292217 , z=10.503363
x=0.095768064 , y=3.2920272 , z=11.506534
x=0.46447513 , y=3.5075054 , z=12.739547
x=0.58418524 , y=3.6942532 , z=11.868058
x=0.40940848 , y=3.7972038 , z=9.785102
x=0.22984336 , y=3.9384618 , z=9.382876
x=0.33997664 , y=4.261679 , z=9.876082
x=0.45968673 , y=4.783615 , z=9.380483
x=-0.1436521 , y=5.185841 , z=7.0964136
x=-0.4357447 , y=5.279215 , z=5.547365
x=-0.09816227 , y=5.329493 , z=4.3143516
x=0.3878607 , y=5.422867 , z=4.4484267
x=0.878672 , y=5.3007627 , z=4.5322237
x=1.0295067 , y=5.1762643 , z=4.3718123
x=0.8738836 , y=5.032612 , z=4.345476
x=0.557849 , y=4.8865657 , z=4.036624
x=0.21068975 , y=4.8027687 , z=4.4244847
x=-0.035913024 , y=4.630386 , z=6.1507044
x=-0.34237084 , y=4.4675803 , z=7.347805
x=-0.81881696 , y=4.232949 , z=8.204929
x=-0.9935937 , y=3.7612908 , z=8.542512
x=-1.2473791 , y=3.3399115 , z=8.89446
x=-1.2785037 , y=2.9376855 , z=9.442732
x=-1.0103531 , y=2.731784 , z=11.188105
x=-0.8834604 , y=2.540248 , z=11.836933
x=-0.8858546 , y=2.4013844 , z=11.805809
x=-0.9648633 , y=2.2936451 , z=10.694899
x=-0.82599956 , y=2.492364 , z=11.310209
x=-0.5530606 , y=2.719813 , z=11.568783
x=-0.46926352 , y=2.7844565 , z=11.944673
x=-0.44771573 , y=2.707842 , z=11.540052
x=-0.14604631 , y=2.657564 , z=9.933543
x=0.04309563 , y=2.7102363 , z=7.639898
x=0.05746084 , y=2.731784 , z=8.0684595
x=0.33997664 , y=2.743755 , z=9.284714
x=0.37828386 , y=2.873042 , z=8.78672
x=0.22744916 , y=3.1747115 , z=7.855376
x=-0.25617957 , y=3.4380736 , z=8.0684595
x=-0.37110126 , y=3.6870706 , z=7.9511437
x=-0.30406362 , y=4.0462008 , z=8.157045
x=-0.17477672 , y=4.3885717 , z=7.9224133
x=-0.4405331 , y=4.6255975 , z=6.7947445
x=-0.6871359 , y=4.876989 , z=4.4244847
x=-0.6919243 , y=5.046977 , z=3.2752678
x=-0.37588966 , y=5.0757074 , z=4.110844
x=0.22266077 , y=5.118803 , z=4.7668557
x=0.5506664 , y=5.267244 , z=3.4955344
x=0.6488287 , y=5.449203 , z=3.881001
x=0.62967503 , y=5.3558292 , z=4.900931
x=0.2777274 , y=5.046977 , z=5.3606176
x=0.34476504 , y=4.8626237 , z=7.702147
x=0.46926352 , y=4.7381253 , z=9.334992
x=0.7589619 , y=4.745308 , z=9.203311
x=0.8595184 , y=4.7764325 , z=9.275137
x=1.3000516 , y=4.697424 , z=10.85531
x=2.0111294 , y=4.4244847 , z=12.471396
x=2.8562827 , y=3.8426938 , z=14.037205
x=2.8802247 , y=3.347094 , z=14.475344
x=2.1906946 , y=2.9759927 , z=13.814544
x=0.521936 , y=2.9496565 , z=13.637373
x=-0.4381389 , y=3.1747115 , z=15.040375
x=-1.0414777 , y=3.5122938 , z=15.636531
x=-1.2665327 , y=3.6990416 , z=14.104242
x=-0.9983821 , y=3.8163576 , z=12.157756
x=-0.23942018 , y=3.8618474 , z=10.33098
