x=-0.4261679 , y=1.30484 , z=10.079589
x=-0.4213795 , y=1.3359646 , z=10.01734
x=-0.37110126 , y=1.376666 , z=9.981427
x=-0.32800564 , y=1.3814543 , z=10.005369
x=-0.2896984 , y=1.3910311 , z=10.06283
x=-0.260968 , y=1.4053963 , z=10.125079
x=-0.19871874 , y=1.4317327 , z=10.206482
x=-0.16519992 , y=1.4628572 , z=10.251971
x=-0.16519992 , y=1.4269443 , z=10.31901
x=-0.19153613 , y=1.412579 , z=10.3692875
x=-0.20350714 , y=1.3623008 , z=10.402806
x=-0.23942018 , y=1.3144168 , z=10.400413
x=-0.24181437 , y=1.316811 , z=10.378864
x=-0.2753332 , y=1.3239936 , z=10.333375
x=-0.2801216 , y=1.3623008 , z=10.235212
x=-0.32321724 , y=1.3718776 , z=10.156203
x=-0.34715924 , y=1.4077905 , z=10.105926
x=-0.32800564 , y=1.436521 , z=10.041282
x=-0.33758244 , y=1.4820108 , z=10.0029745
x=-0.2896984 , y=1.508347 , z=9.959879
x=-0.2705448 , y=1.5442601 , z=9.947908
x=-0.23942018 , y=1.5682021 , z=9.964667
x=-0.22266077 , y=1.5849615 , z=9.957485
x=-0.19871874 , y=1.6112977 , z=9.988609
x=-0.19153613 , y=1.6567876 , z=9.983821
x=-0.24181437 , y=1.7286136 , z=9.988609
x=-0.21547815 , y=1.7764976 , z=9.957485
x=-0.17956513 , y=1.8243817 , z=9.919178
x=-0.18674773 , y=1.8746599 , z=9.799467
x=-0.17717093 , y=1.8938135 , z=9.648633
x=-0.20350714 , y=1.9321208 , z=9.459491
x=-0.272939 , y=1.9776106 , z=9.351752
x=-0.2873042 , y=2.0350714 , z=9.241618
x=-0.30406362 , y=2.0901382 , z=9.083601
x=-0.29448682 , y=2.1212628 , z=8.985439
x=-0.2705448 , y=2.1499932 , z=8.889671
x=-0.2657564 , y=2.1619642 , z=8.901642
x=-0.272939 , y=2.1930888 , z=8.908825
x=-0.28491 , y=2.2481554 , z=8.9279785
x=-0.29209262 , y=2.2984335 , z=8.983045
x=-0.2801216 , y=2.3654714 , z=9.01417
x=-0.23942018 , y=2.3750482 , z=9.018958
x=-0.20590134 , y=2.3989902 , z=9.064447
x=-0.18435353 , y=2.420538 , z=9.11712
x=-0.18914193 , y=2.4349031 , z=9.186552
x=-0.19632454 , y=2.4492683 , z=9.337387
x=-0.24899697 , y=2.4588451 , z=9.385271
x=-0.25857377 , y=2.4756045 , z=9.442732
x=-0.2681506 , y=2.5306711 , z=9.433155
x=-0.2633622 , y=2.5617957 , z=9.356541
x=-0.2681506 , y=2.6240451 , z=9.212888
x=-0.25617957 , y=2.6479871 , z=9.054871
x=-0.23942018 , y=2.7030537 , z=8.92319
x=-0.22026655 , y=2.7581203 , z=8.796297
x=-0.20590134 , y=2.789245 , z=8.688558
x=-0.15801731 , y=2.789245 , z=8.628703
x=-0.12210429 , y=2.7629087 , z=8.571242
x=-0.12689269 , y=2.7269957 , z=8.542512
x=-0.19632454 , y=2.6719291 , z=8.552089
x=-0.260968 , y=2.633622 , z=8.623915
x=-0.32561144 , y=2.597709 , z=8.810662
x=-0.36870706 , y=2.56419 , z=8.963891
x=-0.39025488 , y=2.554613 , z=9.169792
x=-0.4237737 , y=2.5115175 , z=9.299079
x=-0.46926352 , y=2.4732103 , z=9.392453
x=-0.5554548 , y=2.4253263 , z=9.41879
x=-0.61052144 , y=2.396596 , z=9.414001
x=-0.6584055 , y=2.360683 , z=9.358934
x=-0.7206547 , y=2.3223755 , z=9.330204
x=-0.7110779 , y=2.3630772 , z=9.308656
x=-0.7062895 , y=2.372654 , z=9.267955
x=-0.6775591 , y=2.3894134 , z=9.224859
x=-0.6799533 , y=2.3942018 , z=9.138668
x=-0.6895301 , y=2.3870192 , z=9.054871
x=-0.7493851 , y=2.3942018 , z=8.956709
x=-0.7757214 , y=2.4013844 , z=8.889671
x=-0.78290397 , y=2.384625 , z=8.813056
x=-0.7541735 , y=2.408567 , z=8.779537
x=-0.7230489 , y=2.4253263 , z=8.746018
x=-0.6991069 , y=2.4396915 , z=8.736442
x=-0.7134721 , y=2.420538 , z=8.714894
x=-0.7278373 , y=2.4181437 , z=8.693346
x=-0.7589619 , y=2.396596 , z=8.647857
x=-0.7517793 , y=2.3870192 , z=8.597578
x=-0.7254431 , y=2.4396915 , z=8.554482
x=-0.6847417 , y=2.4851813 , z=8.492233
x=-0.6991069 , y=2.4875755 , z=8.432379
x=-0.7422025 , y=2.504335 , z=8.42759
x=-0.8499416 , y=2.4779987 , z=8.485051
x=-0.93613285 , y=2.4492683 , z=8.604761
x=-1.0462662 , y=2.4229321 , z=8.772355
x=-1.079785 , y=2.4037786 , z=8.865729
x=-1.1204864 , y=2.3558946 , z=8.932767
x=-1.1061212 , y=2.3415294 , z=8.968679
x=-1.103727 , y=2.3535004 , z=8.949526
