x=2.0254946 , y=3.1316159 , z=9.330204
x=1.7860745 , y=3.2393548 , z=8.851364
x=1.5298948 , y=3.2369606 , z=8.322245
x=1.340753 , y=3.1651347 , z=8.085219
x=1.2952632 , y=3.1364043 , z=8.070854
x=1.3814543 , y=3.0573955 , z=8.190564
x=1.5155296 , y=3.0669725 , z=8.37013
x=1.6807296 , y=3.1124623 , z=8.511387
x=1.6639702 , y=3.1148565 , z=8.528147
x=1.5131354 , y=3.110068 , z=8.66701
x=1.4317327 , y=3.1507695 , z=8.731653
x=1.4676456 , y=3.2010477 , z=8.66701
x=1.079785 , y=3.2609026 , z=8.707711
x=0.89782566 , y=3.3255463 , z=8.750807
x=0.62488663 , y=3.3446999 , z=8.920795
x=0.6440403 , y=3.3542767 , z=9.0476885
x=0.7565677 , y=3.371036 , z=9.155427
x=0.91458505 , y=3.3806129 , z=9.320627
x=1.0223241 , y=3.3854012 , z=9.358934
x=1.043872 , y=3.3686419 , z=9.406818
x=1.0175357 , y=3.3446999 , z=9.488221
x=1.0893618 , y=3.3183637 , z=9.516952
x=1.2114661 , y=3.2848446 , z=9.52174
x=1.2976574 , y=3.2680852 , z=9.490616
x=1.3263878 , y=3.2154129 , z=9.514558
x=1.328782 , y=3.1435869 , z=9.507375
x=1.3670892 , y=3.110068 , z=9.490616
x=1.3215994 , y=3.0669725 , z=9.437943
x=1.2545617 , y=3.016694 , z=9.339781
x=1.2282255 , y=2.9999347 , z=9.234436
x=1.2569559 , y=2.9712043 , z=9.150639
x=1.2808979 , y=2.932897 , z=9.0429
x=1.2593501 , y=2.8921957 , z=9.01417
x=1.2234371 , y=2.8921957 , z=9.057265
x=1.1971009 , y=2.89459 , z=9.172187
x=1.1851299 , y=2.9041667 , z=9.255983
x=1.1875241 , y=2.9376855 , z=9.31105
x=1.2449849 , y=2.96881 , z=9.32781
x=1.2976574 , y=2.9855695 , z=9.315839
x=1.400608 , y=3.004723 , z=9.332599
x=1.4772224 , y=2.992752 , z=9.368511
x=1.4939818 , y=2.9520507 , z=9.414001
x=1.4149733 , y=2.861071 , z=9.478644
x=1.3599066 , y=2.8107927 , z=9.555259
x=1.2665327 , y=2.7700913 , z=9.636662
x=1.1827357 , y=2.6982653 , z=9.667787
x=1.1492168 , y=2.6647465 , z=9.660604
x=1.0845734 , y=2.5881321 , z=9.653421
x=1.0486604 , y=2.5761611 , z=9.619903
x=1.0247183 , y=2.5905263 , z=9.572019
x=1.0941502 , y=2.6144683 , z=9.457097
x=1.1180922 , y=2.657564 , z=9.303867
x=1.0941502 , y=2.7150247 , z=9.16261
x=1.151611 , y=2.7509377 , z=9.021352
x=1.2330139 , y=2.7581203 , z=8.937555
x=1.2952632 , y=2.7246015 , z=8.978256
x=1.3263878 , y=2.657564 , z=9.033323
x=1.352724 , y=2.597709 , z=9.11712
x=1.3215994 , y=2.5713725 , z=9.160215
x=1.2545617 , y=2.5474305 , z=9.184157
x=1.1731589 , y=2.5234885 , z=9.181764
x=1.103727 , y=2.516306 , z=9.136273
x=0.94810385 , y=2.5306711 , z=9.095572
x=0.89543146 , y=2.5450363 , z=9.052477
x=0.92176765 , y=2.621651 , z=8.978256
x=1.0055647 , y=2.6647465 , z=8.858546
x=1.079785 , y=2.693477 , z=8.750807
x=1.1803415 , y=2.7461493 , z=8.62152
x=1.42455 , y=2.7461493 , z=8.528147
x=1.661576 , y=2.765303 , z=8.590396
x=1.484405 , y=2.767697 , z=8.695741
x=1.3144168 , y=2.777274 , z=8.810662
x=1.2449849 , y=2.777274 , z=9.028535
x=1.3096284 , y=2.741361 , z=9.093178
x=1.2976574 , y=2.6527755 , z=9.222465
x=1.2952632 , y=2.5833437 , z=9.296685
x=1.352724 , y=2.5498247 , z=9.392453
x=1.3311762 , y=2.5019407 , z=9.576807
x=1.2354081 , y=2.5258827 , z=9.725247
x=1.0486604 , y=2.5258827 , z=9.821015
x=1.0007763 , y=2.5330653 , z=9.856929
x=1.0941502 , y=2.5354595 , z=9.832987
x=1.3383588 , y=2.5953147 , z=9.753978
x=1.3982137 , y=2.6479871 , z=9.727641
x=1.3551182 , y=2.7389667 , z=9.65821
x=1.352724 , y=2.834735 , z=9.607931
x=1.3982137 , y=2.8898015 , z=9.514558
x=1.4173675 , y=2.906561 , z=9.421184
x=1.3455414 , y=2.9376855 , z=9.411607
x=1.1899183 , y=2.954445 , z=9.368511
x=1.1300632 , y=2.9999347 , z=9.32781
x=1.0079589 , y=3.0430303 , z=9.200917
x=0.9528923 , y=3.0597897 , z=9.085996
x=0.93852705 , y=3.0358477 , z=8.99741
x=0.91458505 , y=3.0358477 , z=8.916007
x=0.92895025 , y=3.0478187 , z=8.896853
x=0.9624691 , y=3.0885203 , z=8.930372
x=1.1180922 , y=3.1531637 , z=9.002198
x=1.1947067 , y=3.205836 , z=9.02614
x=1.1827357 , y=3.2920272 , z=9.028535
x=1.1779473 , y=3.3423057 , z=9.069236
x=1.2162545 , y=3.3542767 , z=9.153033
x=1.4221559 , y=3.347094 , z=9.232041
x=1.5634137 , y=3.323152 , z=9.330204
x=1.661576 , y=3.2992098 , z=9.504981
x=1.673547 , y=3.301604 , z=9.643845
x=1.673547 , y=3.289633 , z=9.715671
x=1.6304513 , y=3.2800562 , z=9.751583
x=1.448492 , y=3.2441432 , z=9.828198
x=1.115698 , y=3.2489316 , z=9.871294
x=0.9959879 , y=3.1866825 , z=9.847352
x=0.92895025 , y=3.1555579 , z=9.813833
x=0.6751649 , y=3.107674 , z=9.742006
x=0.45729253 , y=3.052607 , z=9.691729
x=0.40462008 , y=3.0358477 , z=9.653421
x=0.51475334 , y=3.095703 , z=9.5385
x=0.641646 , y=3.1627405 , z=9.385271
x=0.7158663 , y=3.205836 , z=9.267955
x=0.8451532 , y=3.265691 , z=9.143456
x=1.1085154 , y=3.3758245 , z=8.9519205
x=1.1731589 , y=3.4261026 , z=8.865729
x=1.1971009 , y=3.5075054 , z=8.853758
x=1.2258313 , y=3.560178 , z=8.858546
x=1.3144168 , y=3.596091 , z=8.8777
x=1.5873557 , y=3.608062 , z=8.920795
x=1.4676456 , y=3.6008794 , z=8.99741
x=1.1204864 , y=3.5362358 , z=9.179369
x=1.043872 , y=3.4835634 , z=9.323022
x=1.1180922 , y=3.4572272 , z=9.41879
x=1.3072342 , y=3.394978 , z=9.562442
x=1.5682021 , y=3.3087866 , z=9.648633
x=1.8459295 , y=3.193865 , z=9.701305
x=1.9512744 , y=3.1364043 , z=9.794679
x=2.0853498 , y=3.1483753 , z=9.801862
x=2.0207062 , y=3.2249897 , z=9.77792
x=1.5275006 , y=3.3758245 , z=9.722853
x=0.9552865 , y=3.526659 , z=9.583989
x=0.91937345 , y=3.6056678 , z=9.40203
x=1.3215994 , y=3.6104562 , z=9.181764
x=1.5753847 , y=3.5649664 , z=8.956709
x=1.5562311 , y=3.4835634 , z=8.872911
x=1.6136919 , y=3.4524388 , z=8.844181
x=1.3383588 , y=3.5051112 , z=8.856153
x=1.0582372 , y=3.5673606 , z=8.825027
x=1.0007763 , y=3.6367924 , z=8.796297
x=1.1180922 , y=3.6583402 , z=8.722076
x=1.2090719 , y=3.6391866 , z=8.643068
x=1.1444284 , y=3.608062 , z=8.643068
x=1.1540052 , y=3.5673606 , z=8.690952
x=0.9864111 , y=3.572149 , z=8.803479
x=0.9768343 , y=3.5673606 , z=8.827422
x=1.1611878 , y=3.5984852 , z=8.870518
x=1.13964 , y=3.6415808 , z=8.834604
x=1.1348516 , y=3.6343982 , z=8.693346
x=1.2378023 , y=3.6056678 , z=8.528147
x=0.9600749 , y=3.6583402 , z=8.465898
x=0.8331822 , y=3.8019924 , z=8.470686
x=0.9840169 , y=3.8833952 , z=8.523358
x=1.0726024 , y=3.9719806 , z=8.53054
x=0.92895025 , y=4.039018 , z=8.542512
x=0.7733272 , y=4.039018 , z=8.487445
x=0.7685388 , y=3.940856 , z=8.358158
x=0.60573304 , y=3.8905778 , z=8.305486
x=0.4333505 , y=3.8762126 , z=8.286332
x=0.36631286 , y=3.8498764 , z=8.377312
x=0.39504328 , y=3.833117 , z=8.50181
x=0.47644615 , y=3.8379054 , z=8.631097
x=0.5434838 , y=3.8115692 , z=8.74123
