x,y,z,latitude,longitude,speed,sound,light,time,timestamp
-2.2697031 ,1.7429788 ,10.220847,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901680
-2.1332338 ,1.8507179 ,9.964667,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901686
-2.1763294 ,1.9321208 ,9.80665,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901690
-1.934515 ,1.9129672 ,9.306262,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901695
-1.7860745 ,1.7717092 ,9.0429,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901701
-1.7405846 ,1.5729905 ,9.033323,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901706
-1.7070658 ,1.3670892 ,9.141062,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901710
-1.7405846 ,1.2114661 ,9.349358,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901718
-1.9752164 ,1.1587936 ,9.770737,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901720
-2.2457612 ,1.0319009 ,9.998186,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901725
-2.420538 ,0.8834604 ,10.4171715,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901732
-2.5833437 ,0.85473 ,10.493786,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901735
-2.813187 ,0.9624691 ,10.67814,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901742
-2.7844565 ,1.0606314 ,10.527305,23.53301432915032,87.32716865837574 ,38.33999862670898,77.74349295391166 ,0.0,17:48:21 pm,1663157901746
